"arrayNumber";"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;16;11;0;10;3
1;16;12;0;2;1
1;16;13;0;0;0
1;16;14;0;7;3
1;16;15;0;1;0
1;16;16;0;4;6
1;16;17;0;0;0
1;16;18;0;1;2
1;16;19;0;1;2
1;16;20;1;4;0
1;16;21;2;7;0
1;16;22;0;2;1
1;16;23;0;1;30
1;16;24;1;2;9
1;16;25;1;0;0
1;16;26;0;3;1
1;16;27;0;1;4
1;16;28;0;0;0
1;16;29;0;0;4
1;16;30;0;5;0
1;16;31;1;1;1
1;16;32;0;1;7
1;16;33;0;0;4
1;16;34;0;1;1
1;16;35;2;0;0
1;16;36;0;1;1
1;16;37;0;0;6
1;16;38;1;0;1
1;16;39;0;1;6
1;16;40;0;0;17
1;16;41;1;0;0
1;16;42;0;4;3
1;16;43;0;6;1
1;16;44;0;6;4
1;16;45;0;2;0
1;16;46;1;1;6
1;16;47;0;0;8
1;16;48;0;4;2
1;16;49;0;0;0
1;16;50;0;3;0
1;17;1;1;0;31
1;17;2;3;26;9
1;17;3;0;3;1
1;17;4;1;18;2
1;17;5;1;4;3
1;17;6;1;6;2
1;17;7;1;12;0
1;17;8;0;4;1
1;17;9;0;7;16
1;17;10;0;1;1
1;17;11;0;1;6
1;17;12;0;4;1
1;17;13;0;0;0
1;17;14;0;3;8
1;17;15;0;4;0
1;17;16;0;5;1
1;17;17;1;0;1
1;17;18;0;0;1
1;17;19;0;5;1
1;17;20;4;3;1
1;17;21;0;0;3
1;17;22;1;4;1
1;17;23;1;3;11
1;17;24;4;4;5
1;17;25;1;3;1
1;17;26;0;4;1
1;17;27;0;0;0
1;17;28;1;0;8
1;17;29;0;5;0
1;17;30;0;3;40
1;17;31;1;6;6
1;17;32;0;0;0
1;17;33;0;0;0
1;17;34;0;0;0
1;17;35;0;0;0
1;17;36;0;0;2
1;17;37;1;0;1
1;17;38;1;1;1
1;17;39;0;1;0
1;17;40;0;0;2
1;17;41;2;2;2
1;17;42;0;0;0
1;17;43;0;0;1
1;17;44;1;0;2
1;17;45;1;0;0
1;17;46;0;0;5
1;17;47;0;1;3
1;17;48;3;3;1
1;17;49;0;4;1
1;17;50;1;2;7
1;18;1;0;2;0
1;18;2;2;3;27
1;18;3;2;1;0
1;18;4;0;4;20
1;18;5;1;11;29
1;18;6;0;1;4
1;18;7;0;1;0
1;18;8;0;20;10
1;18;9;4;0;1
1;18;10;1;10;0
1;18;11;2;1;3
1;18;12;1;5;4
1;18;13;1;0;0
1;18;14;0;0;1
1;18;15;2;5;0
1;18;16;0;3;0
1;18;17;1;1;0
1;18;18;1;1;6
1;18;19;1;1;0
1;18;20;1;0;7
1;18;21;0;30;0
1;18;22;0;0;2
1;18;23;0;0;4
1;18;24;0;0;2
1;18;25;0;2;0
1;18;26;0;18;0
1;18;27;0;5;9
1;18;28;0;2;1
1;18;29;0;4;0
1;18;30;1;2;0
1;18;31;0;1;4
1;18;32;0;6;0
1;18;33;0;3;8
1;18;34;1;0;2
1;18;35;1;2;0
1;18;36;0;0;1
1;18;37;0;0;1
1;18;38;0;2;4
1;18;39;1;0;1
1;18;40;0;11;3
1;18;41;0;6;0
1;18;42;0;3;6
1;18;43;1;4;5
1;18;44;1;2;1
1;18;45;1;1;1
1;18;46;1;1;2
1;18;47;0;0;0
1;18;48;2;2;3
1;18;49;0;1;1
1;18;50;0;2;0
1;19;1;2;7;0
1;19;2;0;0;4
1;19;3;0;0;1
1;19;4;3;0;17
1;19;5;0;0;2
1;19;6;1;1;8
1;19;7;1;1;2
1;19;8;1;6;10
1;19;9;4;5;6
1;19;10;0;11;0
1;19;11;0;2;2
1;19;12;1;5;6
1;19;13;0;25;3
1;19;14;1;13;1
1;19;15;0;0;8
1;19;16;0;2;2
1;19;17;0;14;3
1;19;18;0;0;8
1;19;19;2;5;0
1;19;20;0;0;4
1;19;21;1;1;2
1;19;22;2;24;0
1;19;23;0;5;1
1;19;24;0;2;0
1;19;25;0;3;4
1;19;26;5;4;6
1;19;27;0;3;3
1;19;28;0;0;1
1;19;29;1;8;0
1;19;30;2;0;3
1;19;31;0;4;0
1;19;32;0;1;1
1;19;33;0;2;0
1;19;34;0;1;1
1;19;35;0;0;2
1;19;36;0;0;0
1;19;37;0;0;1
1;19;38;1;0;3
1;19;39;1;2;14
1;19;40;2;5;0
1;19;41;0;2;1
1;19;42;0;2;7
1;19;43;0;1;4
1;19;44;0;0;3
1;19;45;0;3;6
1;19;46;0;1;1
1;19;47;0;1;1
1;19;48;0;3;1
1;19;49;1;0;0
1;19;50;0;0;1
1;20;1;2;1;33
1;20;2;0;3;16
1;20;3;0;1;0
1;20;4;1;1;10
1;20;5;1;4;4
1;20;6;0;5;6
1;20;7;2;9;4
1;20;8;0;1;10
1;20;9;1;6;0
1;20;10;1;0;12
1;20;11;0;3;24
1;20;12;2;1;0
1;20;13;0;10;0
1;20;14;1;20;5
1;20;15;0;1;0
1;20;16;1;0;0
1;20;17;1;0;5
1;20;18;1;9;0
1;20;19;0;2;0
1;20;20;1;0;0
1;20;21;1;1;0
1;20;22;0;1;0
1;20;23;0;2;5
1;20;24;1;0;1
1;20;25;1;5;2
1;20;26;0;0;0
1;20;27;0;12;5
1;20;28;0;6;1
1;20;29;2;0;0
1;20;30;1;4;3
