"arrayNumber","simulation","bout","bee","similarityIndex"
1,4,41,2,0.566666666666667
1,4,42,1,0.157894736842105
1,4,42,2,0.5
1,4,43,1,0.6
1,4,43,2,0.3
1,4,44,1,0.6
1,4,44,2,0.388888888888889
1,4,45,1,0.8
1,4,45,2,0.611111111111111
1,4,46,1,0.7
1,4,46,2,0.321428571428571
1,4,47,1,0.55
1,4,47,2,0.833333333333333
1,4,48,1,0.6
1,4,48,2,0.375
1,4,49,1,1
1,4,49,2,0.833333333333333
1,5,1,1,0.295454545454545
1,5,1,2,0
1,5,2,1,0.474358974358974
1,5,2,2,0
1,5,3,1,0.358974358974359
1,5,3,2,0.142857142857143
1,5,4,1,0.379310344827586
1,5,4,2,0.261904761904762
1,5,5,1,0.676470588235294
1,5,5,2,0.272727272727273
1,5,6,1,0.220588235294118
1,5,6,2,0
1,5,7,1,0.230769230769231
1,5,7,2,0.272727272727273
1,5,8,1,0.384615384615385
1,5,8,2,0.2
1,5,9,1,0
1,5,9,2,0
1,5,10,1,0.423076923076923
1,5,10,2,0
1,5,11,1,0.230769230769231
1,5,11,2,0.388888888888889
1,5,12,1,0
1,5,12,2,0.51219512195122
1,5,13,1,0
1,5,13,2,0
1,5,14,1,0.35
1,5,14,2,0
1,5,15,1,0.476190476190476
1,5,15,2,0.214285714285714
1,5,16,1,0.428571428571429
1,5,16,2,0.272727272727273
1,5,17,1,0.527777777777778
1,5,17,2,0.346153846153846
1,5,18,1,0.35
1,5,18,2,0
1,5,19,1,0.15
1,5,19,2,0
1,5,20,1,0.458333333333333
1,5,20,2,0.4
1,5,21,1,0.38
1,5,21,2,0.575
1,5,22,1,0.44
1,5,22,2,0.55
1,5,23,1,0.291666666666667
1,5,23,2,0.28125
1,5,24,1,0.291666666666667
1,5,24,2,0
1,5,25,1,0
1,5,25,2,0.333333333333333
1,5,26,1,0
1,5,26,2,0
1,5,27,1,0
1,5,27,2,0.5
1,5,28,1,0
1,5,28,2,0.423076923076923
1,5,29,1,0
1,5,29,2,0.423076923076923
1,5,30,1,0.230769230769231
1,5,30,2,0.333333333333333
1,5,31,1,0.230769230769231
1,5,31,2,0.428571428571429
1,5,32,1,0
1,5,32,2,0
1,5,33,1,0.25
1,5,33,2,0
1,5,34,1,0
1,5,34,2,0.363636363636364
1,5,35,1,0
1,5,35,2,0.410714285714286
1,5,36,1,0
1,5,36,2,0.821428571428571
1,5,37,1,0.576923076923077
1,5,37,2,0.519230769230769
1,5,38,1,0
1,5,38,2,0.509090909090909
1,5,39,1,0.5
1,5,39,2,0.690909090909091
1,5,40,1,0
1,5,40,2,0.6
1,5,41,1,0.375
1,5,41,2,0.583333333333333
1,5,42,1,0.708333333333333
1,5,42,2,0.666666666666667
1,5,43,1,0.375
1,5,43,2,0.696969696969697
1,5,44,1,0
1,5,44,2,0.464285714285714
1,5,45,1,1
1,5,45,2,0.6
1,5,46,1,0.25
1,5,46,2,0.3
1,5,47,1,0.458333333333333
1,5,47,2,0.5
1,5,48,1,0.8125
1,5,48,2,0.625
1,5,49,1,1
1,5,49,2,0.458333333333333
1,6,1,1,0.4
1,6,1,2,0.34375
1,6,2,1,0.25
1,6,2,2,0.34375
1,6,3,1,0
1,6,3,2,0.148148148148148
1,6,4,1,0.214285714285714
1,6,4,2,0.148148148148148
1,6,5,1,0.230769230769231
1,6,5,2,0.25
1,6,6,1,0.446153846153846
1,6,6,2,0.479166666666667
1,6,7,1,0.515384615384615
1,6,7,2,0.607843137254902
1,6,8,1,0.38
1,6,8,2,0.470588235294118
1,6,9,1,0.22
1,6,9,2,0.666666666666667
1,6,10,1,0.375
1,6,10,2,0.51
1,6,11,1,0.375
1,6,11,2,0.4
1,6,12,1,0.269230769230769
1,6,12,2,0
1,6,13,1,0.269230769230769
1,6,13,2,0.3
1,6,14,1,0.633333333333333
1,6,14,2,0.34
1,6,15,1,0.766666666666667
1,6,15,2,0.22
1,6,16,1,0.416666666666667
1,6,16,2,0.285714285714286
1,6,17,1,0.431034482758621
1,6,17,2,0.285714285714286
1,6,18,1,0.551724137931034
1,6,18,2,0.333333333333333
1,6,19,1,0.684210526315789
1,6,19,2,0.333333333333333
1,6,20,1,0.578947368421053
1,6,20,2,0.375
1,6,21,1,0.6875
1,6,21,2,0.6875
1,6,22,1,0.466666666666667
1,6,22,2,0.888888888888889
1,6,23,1,0.5
1,6,23,2,0.588235294117647
1,6,24,1,0.5
1,6,24,2,0.647058823529412
1,6,25,1,0.538461538461538
1,6,25,2,0.576923076923077
1,6,26,1,0.307692307692308
1,6,26,2,0.3
1,6,27,1,0
1,6,27,2,0.442028985507246
1,6,28,1,0.8
1,6,28,2,0.434782608695652
1,6,29,1,0.476190476190476
1,6,29,2,0.6
1,6,30,1,0.666666666666667
1,6,30,2,0
1,6,31,1,0.363636363636364
1,6,31,2,0.210526315789474
1,6,32,1,0.473684210526316
1,6,32,2,0.157894736842105
1,6,33,1,0.492753623188406
1,6,33,2,0.5
1,6,34,1,0.826086956521739
1,6,34,2,0
1,6,35,1,0.540983606557377
1,6,35,2,0
1,6,36,1,0.725
1,6,36,2,1
1,6,37,1,0.55
1,6,37,2,0.3
1,6,38,1,0.666666666666667
1,6,38,2,0.3
1,6,39,1,0.944444444444444
1,6,39,2,1
1,6,40,1,0.630434782608696
1,6,40,2,0.444444444444444
1,6,41,1,0.565217391304348
1,6,41,2,0.444444444444444
1,6,42,1,0.8125
1,6,42,2,1
1,6,43,1,0.8125
1,6,43,2,1
1,6,44,1,0.517857142857143
1,6,44,2,0.277777777777778
1,6,45,1,0.785714285714286
1,6,45,2,0.555555555555556
1,6,46,1,0.543478260869565
1,6,46,2,0.26
1,6,47,1,0.625
1,6,47,2,0.38
1,6,48,1,0.5
1,6,48,2,0.25
1,6,49,1,0.5
1,6,49,2,0.423076923076923
1,7,1,1,0.229166666666667
1,7,1,2,0.3
1,7,2,1,0.333333333333333
1,7,2,2,0.214285714285714
1,7,3,1,0.3
1,7,3,2,0.214285714285714
1,7,4,1,0.483870967741935
1,7,4,2,0
1,7,5,1,0.57258064516129
1,7,5,2,0
1,7,6,1,0.166666666666667
1,7,6,2,0.378378378378378
1,7,7,1,0
1,7,7,2,0.540540540540541
1,7,8,1,0.458333333333333
1,7,8,2,0.566666666666667
1,7,9,1,0.549450549450549
1,7,9,2,0.577777777777778
1,7,10,1,0.505494505494505
1,7,10,2,0.391304347826087
1,7,11,1,0.5
1,7,11,2,0.379310344827586
1,7,12,1,0.46551724137931
1,7,12,2,0.362068965517241
1,7,13,1,0.758620689655172
1,7,13,2,0
1,7,14,1,0.45
1,7,14,2,0
1,7,15,1,0.53448275862069
1,7,15,2,0.25
1,7,16,1,0.586206896551724
1,7,16,2,0
1,7,17,1,0.528571428571429
1,7,17,2,0.411764705882353
1,7,18,1,0.557142857142857
1,7,18,2,0.235294117647059
1,7,19,1,0.375
1,7,19,2,0
1,7,20,1,0.444444444444444
1,7,20,2,0.333333333333333
1,7,21,1,0.6
1,7,21,2,0
1,7,22,1,0.633333333333333
1,7,22,2,0
1,7,23,1,0.583333333333333
1,7,23,2,0.214285714285714
1,7,24,1,0.5
1,7,24,2,0.214285714285714
1,7,25,1,0.629310344827586
1,7,25,2,0.363636363636364
1,7,26,1,0.779411764705882
1,7,26,2,0
1,7,27,1,0.7875
1,7,27,2,0
1,7,28,1,0.3875
1,7,28,2,0.214285714285714
1,7,29,1,0.653846153846154
1,7,29,2,0.392857142857143
1,7,30,1,0.538461538461538
1,7,30,2,0.466666666666667
1,7,31,1,0.363636363636364
1,7,31,2,0.441666666666667
1,7,32,1,0.363636363636364
1,7,32,2,0
1,7,33,1,0.714285714285714
1,7,33,2,0.681818181818182
1,7,34,1,0.425
1,7,34,2,0.545454545454545
1,7,35,1,0.55
1,7,35,2,0.409090909090909
1,7,36,1,0.458333333333333
1,7,36,2,0.375
1,7,37,1,0
1,7,37,2,0.473214285714286
1,7,38,1,0.25
1,7,38,2,0.401785714285714
1,7,39,1,0.75
1,7,39,2,0
1,7,40,1,0.428571428571429
1,7,40,2,0
1,7,41,1,0.428571428571429
1,7,41,2,0.857142857142857
1,7,42,1,0
1,7,42,2,0.453125
1,7,43,1,0
1,7,43,2,0.515625
1,7,44,1,0.375
1,7,44,2,0.3
1,7,45,1,0
1,7,45,2,0.428571428571429
1,7,46,1,0
1,7,46,2,0.538461538461538
1,7,47,1,0
1,7,47,2,0.461538461538462
1,7,48,1,0
1,7,48,2,0.5
1,7,49,1,0
1,7,49,2,0.3
1,8,1,1,0
1,8,1,2,0.518518518518518
1,8,2,1,0.439655172413793
1,8,2,2,0.235294117647059
1,8,3,1,0.543103448275862
1,8,3,2,0.375
1,8,4,1,0.4375
1,8,4,2,0.375
1,8,5,1,0.588235294117647
1,8,5,2,0.458333333333333
1,8,6,1,0.471428571428571
1,8,6,2,0.375
1,8,7,1,0.485714285714286
1,8,7,2,0
1,8,8,1,0.25
1,8,8,2,0.3
1,8,9,1,0
1,8,9,2,0.236842105263158
1,8,10,1,0
1,8,10,2,0.354545454545455
1,8,11,1,0
1,8,11,2,0.363636363636364
1,8,12,1,0.310810810810811
1,8,12,2,0.238095238095238
1,8,13,1,0.594594594594595
1,8,13,2,0.214285714285714
1,8,14,1,0.34375
1,8,14,2,0
1,8,15,1,0.466666666666667
1,8,15,2,0
1,8,16,1,0.515625
1,8,16,2,0
1,8,17,1,0.46875
1,8,17,2,0.42
1,8,18,1,0
1,8,18,2,0.671428571428571
1,8,19,1,0
1,8,19,2,0.457142857142857
1,8,20,1,0
1,8,20,2,0.588235294117647
1,8,21,1,0
1,8,21,2,0.581395348837209
1,8,22,1,0
1,8,22,2,0.488372093023256
1,8,23,1,0
1,8,23,2,0.507246376811594
1,8,24,1,0
1,8,24,2,0.557971014492754
1,8,25,1,0.307692307692308
1,8,25,2,0.636363636363636
1,8,26,1,0
1,8,26,2,0.318181818181818
1,8,27,1,0.235294117647059
1,8,27,2,0.45
1,8,28,1,0.176470588235294
1,8,28,2,0.535714285714286
1,8,29,1,0.346153846153846
1,8,29,2,0.765625
1,8,30,1,0.545454545454545
