"arrayNumber";"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;38;14;2;2;11
1;38;15;1;2;10
1;38;16;1;0;0
1;38;17;0;1;2
1;38;18;0;0;0
1;38;19;4;0;8
1;38;20;1;6;0
1;38;21;0;1;0
1;38;22;1;0;3
1;38;23;0;4;1
1;38;24;0;8;1
1;38;25;2;4;0
1;38;26;0;15;1
1;38;27;0;0;4
1;38;28;1;1;6
1;38;29;0;14;0
1;38;30;0;2;2
1;39;1;0;0;1
1;39;2;0;11;1
1;39;3;0;1;0
1;39;4;0;5;11
1;39;5;0;6;0
1;39;6;0;0;2
1;39;7;0;7;7
1;39;8;0;3;1
1;39;9;0;0;0
1;39;10;2;0;8
1;39;11;0;0;4
