"simulation";"bout";"interference";"exploitation1";"exploitation2"
23;24;0;0;1
23;25;3;0;2
23;26;0;0;2
23;27;0;1;0
23;28;2;0;0
23;29;0;1;16
23;30;0;4;2
23;31;0;1;4
23;32;7;56;57
23;33;2;0;0
23;34;0;10;3
23;35;1;0;0
23;36;3;5;0
23;37;1;0;6
23;38;5;62;13
23;39;0;0;4
23;40;0;54;2
23;41;0;0;6
23;42;0;7;0
23;43;0;1;1
23;44;1;1;0
23;45;7;24;12
23;46;0;0;0
23;47;0;4;2
23;48;0;3;6
23;49;0;1;6
23;50;0;0;0
24;1;1;17;15
24;2;0;1;11
24;3;0;1;0
24;4;0;14;2
24;5;2;66;29
24;6;8;1;0
24;7;2;4;19
24;8;0;0;0
24;9;0;0;3
24;10;5;9;0
24;11;0;1;37
24;12;4;34;8
24;13;0;3;6
24;14;0;0;0
24;15;0;9;2
24;16;2;0;3
24;17;6;1;0
24;18;0;60;2
24;19;0;3;4
24;20;0;0;2
24;21;7;29;26
24;22;1;10;0
24;23;0;2;4
24;24;0;4;4
24;25;1;1;1
24;26;3;0;2
24;27;2;3;0
24;28;0;0;2
24;29;0;0;6
24;30;0;0;2
24;31;1;0;0
24;32;0;5;1
24;33;0;12;0
24;34;0;0;48
24;35;3;12;57
24;36;2;0;3
24;37;0;1;2
24;38;1;0;1
24;39;1;1;1
24;40;0;1;15
24;41;0;1;2
24;42;4;0;1
24;43;0;0;1
24;44;1;2;2
24;45;0;0;0
24;46;1;1;2
24;47;2;0;1
24;48;0;6;0
24;49;0;2;0
24;50;1;11;22
25;1;0;13;0
25;2;8;6;13
25;3;2;0;0
25;4;0;0;3
25;5;0;1;2
25;6;0;4;2
25;7;0;1;4
25;8;5;0;7
25;9;0;2;4
25;10;0;3;3
25;11;2;2;44
25;12;0;2;1
25;13;3;3;15
25;14;1;1;23
25;15;0;12;4
25;16;1;8;2
25;17;0;3;4
25;18;3;57;8
25;19;2;4;6
25;20;0;1;0
25;21;4;0;3
25;22;2;0;0
25;23;2;0;0
25;24;0;0;1
25;25;0;4;1
25;26;0;9;0
25;27;2;31;19
25;28;0;10;1
25;29;0;3;6
25;30;1;0;29
25;31;0;1;2
25;32;0;0;0
25;33;0;0;2
25;34;1;0;7
25;35;0;1;0
25;36;9;34;55
25;37;1;2;0
25;38;0;3;0
25;39;0;1;1
25;40;0;0;0
25;41;2;3;4
25;42;0;2;0
25;43;1;18;0
25;44;0;3;0
25;45;0;1;0
25;46;4;2;11
25;47;1;2;5
25;48;0;0;4
25;49;1;5;0
25;50;0;0;4
26;1;0;10;16
26;2;0;8;10
26;3;2;4;16
26;4;0;15;1
26;5;2;3;3
26;6;3;21;0
26;7;0;2;13
26;8;0;0;1
26;9;1;0;17
26;10;1;1;2
26;11;1;5;19
26;12;17;46;44
26;13;2;23;5
26;14;17;50;26
26;15;0;1;2
26;16;1;0;8
26;17;0;1;8
26;18;0;2;2
26;19;0;0;0
26;20;1;0;1
26;21;2;0;0
26;22;1;2;3
26;23;0;2;4
26;24;1;1;1
26;25;0;6;5
26;26;0;10;2
26;27;0;0;1
26;28;0;0;54
26;29;0;4;0
26;30;0;1;0
26;31;1;1;2
26;32;2;2;0
26;33;0;1;1
26;34;0;0;1
26;35;0;0;0
26;36;0;3;0
26;37;0;2;4
26;38;0;3;1
26;39;0;1;1
26;40;0;9;2
26;41;1;0;0
26;42;1;1;1
26;43;0;37;0
26;44;0;0;1
26;45;1;0;2
26;46;0;0;5
26;47;0;3;2
26;48;0;0;0
26;49;2;5;0
26;50;0;0;0
27;1;0;11;0
27;2;0;2;50
27;3;0;5;3
27;4;1;58;2
27;5;1;1;3
27;6;0;62;4
27;7;0;0;3
27;8;0;0;4
27;9;0;0;3
27;10;1;11;0
27;11;0;10;2
27;12;0;5;3
27;13;0;7;7
27;14;2;2;8
27;15;0;4;0
27;16;0;0;6
27;17;0;5;2
27;18;0;1;2
27;19;0;3;1
27;20;0;0;5
27;21;0;5;2
27;22;0;9;1
27;23;0;2;2
27;24;0;2;4
27;25;0;6;3
27;26;0;3;0
27;27;0;1;8
27;28;0;0;1
27;29;1;4;6
27;30;0;1;4
27;31;1;1;0
27;32;1;0;0
27;33;1;0;1
27;34;2;3;0
27;35;1;0;1
27;36;18;39;39
27;37;0;2;1
27;38;0;3;4
27;39;11;34;56
27;40;6;50;55
27;41;0;0;0
27;42;1;1;1
27;43;0;0;4
27;44;1;1;6
27;45;1;6;3
27;46;4;65;16
27;47;0;1;18
27;48;0;1;6
27;49;2;0;0
27;50;0;1;3
28;1;0;16;2
28;2;4;0;0
28;3;1;1;3
28;4;0;4;2
28;5;8;39;43
28;6;1;1;30
28;7;2;5;19
28;8;8;0;14
28;9;5;3;13
28;10;0;0;3
28;11;1;0;5
28;12;0;6;4
28;13;0;1;5
28;14;0;5;13
28;15;0;3;1
28;16;1;4;2
28;17;1;19;1
28;18;0;1;3
28;19;0;6;1
28;20;0;0;5
28;21;0;2;1
28;22;2;3;0
28;23;0;1;1
28;24;2;5;1
28;25;0;2;0
28;26;0;0;1
28;27;2;0;3
28;28;0;2;8
28;29;0;1;3
28;30;0;3;1
28;31;0;0;15
28;32;1;15;0
28;33;0;0;4
28;34;0;1;4
28;35;0;2;6
