simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,absolute_quality
11,20,1,,5,0.02314734
11,21,0,,5,0.01403109
11,21,1,,5,0.02314734
11,22,0,,5,0.01403109
11,22,1,,5,0.02314734
11,23,0,,5,0.01403109
11,23,1,,5,0.02314734
11,24,0,,5,0.01403109
11,24,1,,5,0.02314734
11,25,0,,5,0.01403109
11,25,1,,5,0.02314734
11,26,0,,5,0.01403109
11,26,1,,5,0.02314734
11,27,0,,5,0.01403109
11,27,1,,5,0.02314734
11,28,0,,5,0.01403109
11,28,1,,5,0.02314734
11,29,0,,5,0.01403109
11,29,1,,5,0.02314734
12,0,0,,5,0.01354679
12,0,1,,4,0.00499292
12,1,0,,5,0.01436811
12,1,1,,3,0.00429978
12,2,0,,5,0.01436811
12,2,1,,5,0.02269012
12,3,0,,5,0.01436811
12,3,1,,5,0.02269012
12,4,0,,5,0.01436811
12,4,1,,5,0.02269012
12,5,0,,5,0.01436811
12,5,1,,5,0.02269012
12,6,0,,5,0.01436811
12,6,1,,5,0.02269012
12,7,0,,5,0.01436811
12,7,1,,5,0.02269012
12,8,0,,5,0.01436811
12,8,1,,5,0.02269012
12,9,0,,5,0.01436811
12,9,1,,5,0.02269012
12,10,0,,5,0.01436811
12,10,1,,5,0.02269012
12,11,0,,5,0.01436811
12,11,1,,5,0.02269012
12,12,0,,5,0.01436811
12,12,1,,5,0.02269012
12,13,0,,5,0.01436811
12,13,1,,5,0.02269012
12,14,0,,5,0.01436811
12,14,1,,5,0.02269012
12,15,0,,5,0.01436811
12,15,1,,5,0.02269012
12,16,0,,5,0.01436811
12,16,1,,5,0.02269012
12,17,0,,5,0.01436811
12,17,1,,5,0.02269012
12,18,0,,5,0.01436811
12,18,1,,5,0.02269012
12,19,0,,5,0.01436811
12,19,1,,5,0.02269012
12,20,0,,5,0.01436811
12,20,1,,5,0.02269012
12,21,0,,5,0.01436811
12,21,1,,5,0.02269012
12,22,0,,5,0.01436811
12,22,1,,5,0.02269012
12,23,0,,5,0.01436811
12,23,1,,5,0.02269012
12,24,0,,5,0.01436811
12,24,1,,5,0.02269012
12,25,0,,5,0.01436811
12,25,1,,5,0.02269012
12,26,0,,5,0.01436811
12,26,1,,5,0.02269012
12,27,0,,5,0.01436811
12,27,1,,5,0.02269012
12,28,0,,5,0.01436811
12,28,1,,5,0.02269012
12,29,0,,5,0.01436811
12,29,1,,5,0.02269012
13,0,0,,1,0.00089253
13,0,1,,5,0.01790685
13,1,0,,4,0.00924055
13,1,1,,4,0.00772143
13,2,0,,4,0.00502069
13,2,1,,5,0.02404609
13,3,0,,3,0.007803
13,3,1,,5,0.02404609
13,4,0,,4,0.00763615
13,4,1,,5,0.02404609
13,5,0,,4,0.0084668
13,5,1,,5,0.02404609
13,6,0,,3,0.00888419
13,6,1,,5,0.02404609
13,7,0,,3,0.00266905
13,7,1,,5,0.02404609
13,8,0,,4,0.01281117
13,8,1,,5,0.02404609
13,9,0,,4,0.01281117
13,9,1,,5,0.02404609
13,10,0,,5,0.01547635
13,10,1,,5,0.02404609
13,11,0,,5,0.01547635
