"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","similarityIndex"
"R10-P1","noRouteCompare",1.5,0.75,1,7,17,2,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,7,18,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,18,2,0.176470588235294
"R10-P1","noRouteCompare",1.5,0.75,1,7,19,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,19,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,20,1,0.272727272727273
"R10-P1","noRouteCompare",1.5,0.75,1,7,20,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,21,1,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,7,21,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,22,1,0.333333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,7,22,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,23,1,0.176470588235294
"R10-P1","noRouteCompare",1.5,0.75,1,7,23,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,24,1,0.264705882352941
"R10-P1","noRouteCompare",1.5,0.75,1,7,24,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,7,25,1,0.6
