"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","H2","Q","Qnorm"
"R10-P1","noRouteCompare",1.5,0.75,1,9,5,1,0,0.375,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,9,6,1,0,0.326530612244898,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,9,7,1,0,0.117202268431002,0.276785714285714
"R10-P1","noRouteCompare",1.5,0.75,1,9,8,1,0.0738730789994244,0.173553719008265,0.4
"R10-P1","noRouteCompare",1.5,0.75,1,9,9,1,0.0530719128400848,0.125,0.278409090909091
"R10-P1","noRouteCompare",1.5,0.75,1,9,10,1,0,0.293333333333333,0.589285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,9,11,1,0.148040955482933,0.1875,0.380952380952381
"R10-P1","noRouteCompare",1.5,0.75,1,9,12,1,0,0.222222222222222,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,9,13,1,0,0.355029585798817,0.714285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,9,14,1,1,0.444444444444444,1
"R10-P1","noRouteCompare",1.5,0.75,1,9,15,1,0.0558771335512021,0.15,0.4
"R10-P1","noRouteCompare",1.5,0.75,1,9,16,1,0.0471804688852166,0.14404432132964,0.320987654320988
"R10-P1","noRouteCompare",1.5,0.75,1,9,17,1,0.355154958928577,0.244897959183673,0.519230769230769
"R10-P1","noRouteCompare",1.5,0.75,1,9,18,1,0.420619835714305,0.248888888888889,0.636363636363636
"R10-P1","noRouteCompare",1.5,0.75,1,9,19,1,2.079,0.46875,1
"R10-P1","noRouteCompare",1.5,0.75,1,9,20,1,0,0.24,0.571428571428572
"R10-P1","noRouteCompare",1.5,0.75,1,9,21,1,0,0.1484375,0.301587301587302
"R10-P1","noRouteCompare",1.5,0.75,1,9,22,1,0,0.375,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,9,23,1,1.946,0.489795918367347,1
"R10-P1","noRouteCompare",1.5,0.75,1,9,24,1,0,0.106666666666667,0.244897959183673
"R10-P1","noRouteCompare",1.5,0.75,1,9,25,1,0,0.272189349112426,0.547619047619048
"R10-P1","noRouteCompare",1.5,0.75,1,9,26,1,0,0.395061728395062,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,9,27,1,0.484196257020611,0.321329639889197,0.659090909090909
"R10-P1","noRouteCompare",1.5,0.75,1,9,28,1,0.123733629528873,0.166666666666667,0.342857142857143
"R10-P1","noRouteCompare",1.5,0.75,1,9,29,1,0,0.247933884297521,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,9,30,1,0.37192392753484,0.2734375,0.636363636363636
"R10-P1","noRouteCompare",1.5,0.75,1,10,1,1,0.470407912181295,0.3125,0.634920634920635
"R10-P1","noRouteCompare",1.5,0.75,1,10,2,1,0.147678511934015,0.174556213017751,0.38562091503268
"R10-P1","noRouteCompare",1.5,0.75,1,10,3,1,0,0.111111111111111,0.4
"R10-P1","noRouteCompare",1.5,0.75,1,10,4,1,0,0.163265306122449,0.333333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,10,5,1,0,0.106508875739645,0.225
