"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","Q1","Q2","groupQuality"
"R10-P1","noRouteCompare",1.5,0.75,1,7,12,1,0.01321793,0.01099357,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,7,13,1,0.01369062,0.00722931,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,7,14,1,0.0212043,0.01364566,0.725032320905106
"R10-P1","noRouteCompare",1.5,0.75,1,7,15,1,0.00880998,0.00681654,0.331443346699477
"R10-P1","noRouteCompare",1.5,0.75,1,7,16,1,0.01990563,0.01210272,0.662886693398954
"R10-P1","noRouteCompare",1.5,0.75,1,7,17,1,0.0174523,0.00965905,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,7,18,1,0.0179412,0.00553677,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,7,19,1,0.02326008,0.00276198,0.53859543838665
"R10-P1","noRouteCompare",1.5,0.75,1,7,20,1,0.01899307,0.00516782,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,7,21,1,0.01105405,0.01575105,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,7,22,1,0.01863804,0.00507934,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,7,23,1,0.01185332,0.0061222,0.372873765036911
"R10-P1","noRouteCompare",1.5,0.75,1,7,24,1,0.00474646,0.01478316,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,7,25,1,0.02561257,0.00492732,0.642171484230236
"R10-P1","noRouteCompare",1.5,0.75,1,7,26,1,0.00488603,0.0192313,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,7,27,1,0.0183189,0.00777131,0.53859543838665
"R10-P1","noRouteCompare",1.5,0.75,1,7,28,1,0.01458537,0.00498392,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,7,29,1,0.01395461,0.00402116,0.372873765036911
"R10-P1","noRouteCompare",1.5,0.75,1,7,30,1,0.01565849,0.01355393,0.600741065892802
"R10-P1","noRouteCompare",1.5,0.75,1,8,1,1,0.00696704,0.01476258,0.455734601711781
"R10-P1","noRouteCompare",1.5,0.75,1,8,2,1,0.01527179,0.00615022,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,8,3,1,0.01153893,0.00829098,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,8,4,1,0.01057862,0.01027727,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,8,5,1,0.01496626,0.01005429,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,8,6,1,0.0129435,0.00207275,0.31072813753076
"R10-P1","noRouteCompare",1.5,0.75,1,8,7,1,0.01649385,0.00514135,0.455734601711781
"R10-P1","noRouteCompare",1.5,0.75,1,8,8,1,0.01548214,0.00772336,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,8,9,1,0.00122151,0.01590143,0.352158555868194
"R10-P1","noRouteCompare",1.5,0.75,1,8,10,1,0.01257009,0.01243773,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,8,11,1,0.02250526,0,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,8,12,1,0.02164342,0.00669195,0.580025856724084
"R10-P1","noRouteCompare",1.5,0.75,1,8,13,1,0.01553118,0.0043594,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,8,14,1,0.00860267,0.00974814,0.372873765036911
"R10-P1","noRouteCompare",1.5,0.75,1,8,15,1,0.01946786,0.00593604,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,8,16,1,0.00946511,0.00553008,0.31072813753076
"R10-P1","noRouteCompare",1.5,0.75,1,8,17,1,0.01662823,0.00366122,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,8,18,1,0.01366327,0.01046337,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,8,19,1,0.00484713,0.01862014,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,8,20,1,0.00888527,0.01167624,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,8,21,1,0.00660478,0.00448534,0.22786730085589
"R10-P1","noRouteCompare",1.5,0.75,1,8,22,1,0.01487806,0.0100792,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,8,23,1,0.01537481,0.02474176,0.828608366748692
"R10-P1","noRouteCompare",1.5,0.75,1,8,24,1,0.00737389,0.01286447,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,8,25,1,0.01295013,0.01005571,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,8,26,1,0.00726801,0.01457286,0.455734601711781
"R10-P1","noRouteCompare",1.5,0.75,1,8,27,1,0.00502357,0.01435771,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,8,28,1,0.0194229,0.0110079,0.621456275061519
"R10-P1","noRouteCompare",1.5,0.75,1,8,29,1,0.0172353,0.00543057,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,8,30,1,0.01143505,0.00542864,0.352158555868194
"R10-P1","noRouteCompare",1.5,0.75,1,9,1,1,0.01470849,0.01199621,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,9,2,1,0.01077019,0.01013522,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,9,3,1,0.01209076,0.00819575,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,9,4,1,0.01813595,0.00475497,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,9,5,1,0.02435316,0.00501048,0.600741065892802
"R10-P1","noRouteCompare",1.5,0.75,1,9,6,1,0.0213574,0.00182213,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,9,7,1,0.01118091,0.00507313,0.331443346699477
"R10-P1","noRouteCompare",1.5,0.75,1,9,8,1,0.01897244,0.00846716,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,9,9,1,0.00968619,0.00611566,0.331443346699477
"R10-P1","noRouteCompare",1.5,0.75,1,9,10,1,0.0130673,0.01388765,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,9,11,1,0.01633044,0.00434373,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,9,12,1,0.02162951,0.01098934,0.683601902567671
"R10-P1","noRouteCompare",1.5,0.75,1,9,13,1,0.01436468,0.01589054,0.621456275061519
"R10-P1","noRouteCompare",1.5,0.75,1,9,14,1,0.01276942,0.01338662,0.53859543838665
"R10-P1","noRouteCompare",1.5,0.75,1,9,15,1,0.02097002,0.00279698,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,9,16,1,0.01040424,0.00528479,0.331443346699477
"R10-P1","noRouteCompare",1.5,0.75,1,9,17,1,0.01187352,0.00709345,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,9,18,1,0.02137502,0.00888883,0.621456275061519
"R10-P1","noRouteCompare",1.5,0.75,1,9,19,1,0.02198218,0.00929887,0.642171484230236
"R10-P1","noRouteCompare",1.5,0.75,1,9,20,1,0.0053634,0.01761191,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,9,21,1,0.00629616,0.01018597,0.331443346699477
"R10-P1","noRouteCompare",1.5,0.75,1,9,22,1,0.02366494,0.00399493,0.580025856724084
"R10-P1","noRouteCompare",1.5,0.75,1,9,23,1,0.02137502,0.0069783,0.580025856724084
"R10-P1","noRouteCompare",1.5,0.75,1,9,24,1,0.01259131,0.00204556,0.31072813753076
"R10-P1","noRouteCompare",1.5,0.75,1,9,25,1,0.01230548,0.01649981,0.600741065892802
"R10-P1","noRouteCompare",1.5,0.75,1,9,26,1,0.00758253,0.01826768,0.53859543838665
"R10-P1","noRouteCompare",1.5,0.75,1,9,27,1,0.0139577,0.0088163,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,9,28,1,0.00449343,0.01121384,0.331443346699477
"R10-P1","noRouteCompare",1.5,0.75,1,9,29,1,0.02149416,0.00752071,0.600741065892802
