"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","H2","Q","Qnorm"
"R-P","noRouteCompare",1.5,0.75,1,9,13,1,0.500000000000001,0.331360946745562,0.777777777777778
"R-P","noRouteCompare",1.5,0.75,1,9,14,1,0.0301231270469299,0.125714285714286,0.251633986928105
"R-P","noRouteCompare",1.5,0.75,1,9,15,1,0.213277738911448,0.215500945179584,0.438461538461539
"R-P","noRouteCompare",1.5,0.75,1,9,16,1,0,0.0826446280991736,0.166666666666667
"R-P","noRouteCompare",1.5,0.75,1,9,17,1,0.165485568288051,0.196597353497164,0.412698412698413
"R-P","noRouteCompare",1.5,0.75,1,9,18,1,0.292481250360578,0.214532871972318,0.516666666666667
"R-P","noRouteCompare",1.5,0.75,1,9,19,1,0,0.200692041522491,0.414285714285714
"R-P","noRouteCompare",1.5,0.75,1,9,20,1,0.128950935744847,0.149659863945578,0.366666666666667
"R-P","noRouteCompare",1.5,0.75,1,9,21,1,0.372570696231138,0.270551508844953,0.570175438596491
"R-P","noRouteCompare",1.5,0.75,1,9,22,1,0.210309917857153,0.296875,0.603174603174603
"R-P","noRouteCompare",1.5,0.75,1,9,23,1,0.196777678725962,0.170132325141777,0.5
"R-P","noRouteCompare",1.5,0.75,1,9,24,1,1.946,0.408163265306122,1
"R-P","noRouteCompare",1.5,0.75,1,9,25,1,0.333333333333333,0.297520661157025,0.75
"R-P","noRouteCompare",1.5,0.75,1,9,26,1,0.675488750216348,0.4,0.833333333333333
"R-P","noRouteCompare",1.5,0.75,1,9,27,1,0,0.231404958677686,0.466666666666667
"R-P","noRouteCompare",1.5,0.75,1,9,28,1,0.420619835714305,0.297520661157025,0.75
"R-P","noRouteCompare",1.5,0.75,1,9,29,1,1,0.493827160493827,1
"R-P","noRouteCompare",1.5,0.75,1,9,30,1,0.085517684841206,0.158203125,0.327935222672065
"R-P","noRouteCompare",1.5,0.75,1,10,1,1,0.358104463502083,0.225,0.494505494505495
"R-P","noRouteCompare",1.5,0.75,1,10,2,1,0.420619835714304,0.24,0.75
"R-P","noRouteCompare",1.5,0.75,1,10,3,1,0,0.36,0.75
"R-P","noRouteCompare",1.5,0.75,1,10,4,1,0.113574152913759,0.195011337868481,0.413461538461538
"R-P","noRouteCompare",1.5,0.75,1,10,5,1,0.116826418663707,0.158730158730159,0.357142857142857
