"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","Q1","Q2","groupQuality"
"R-P","noRouteCompare",1.5,0.75,1,8,16,1,0.02256257,0.01093799,0.513430279037276
"R-P","noRouteCompare",1.5,0.75,1,8,17,1,0.00796103,0.02664072,0.528531169597196
"R-P","noRouteCompare",1.5,0.75,1,8,18,1,0.01056228,0.00492775,0.226513358398798
"R-P","noRouteCompare",1.5,0.75,1,8,19,1,0.01359161,0.00431868,0.271816030078558
"R-P","noRouteCompare",1.5,0.75,1,8,20,1,0.00993274,0.01398531,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,8,21,1,0.01653577,0.02761922,0.664439184636475
"R-P","noRouteCompare",1.5,0.75,1,8,22,1,0.01134201,0.00765983,0.286916920638478
"R-P","noRouteCompare",1.5,0.75,1,8,23,1,0.00748905,0.01099357,0.271816030078558
"R-P","noRouteCompare",1.5,0.75,1,8,24,1,0.03144469,0.00995837,0.619136512956715
"R-P","noRouteCompare",1.5,0.75,1,8,25,1,0.0351089,0.00759707,0.649338294076555
"R-P","noRouteCompare",1.5,0.75,1,8,26,1,0.01282532,0.01394449,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,8,27,1,0.01560335,0.00933336,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,8,28,1,0.01057585,0.00846808,0.286916920638478
"R-P","noRouteCompare",1.5,0.75,1,8,29,1,0.00282117,0.02082297,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,8,30,1,0.00555257,0.00965585,0.226513358398798
"R-P","noRouteCompare",1.5,0.75,1,9,1,1,0.01615392,0.00970562,0.392623154557917
"R-P","noRouteCompare",1.5,0.75,1,9,2,1,0.01298665,0.00820017,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,9,3,1,0.00586603,0.00536595,0.166109796159119
"R-P","noRouteCompare",1.5,0.75,1,9,4,1,0.00337782,0.01403349,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,9,5,1,0.03088553,0.00360638,0.513430279037276
"R-P","noRouteCompare",1.5,0.75,1,9,6,1,0.01861025,0.00890463,0.422824935677757
"R-P","noRouteCompare",1.5,0.75,1,9,7,1,0.01066443,0.00928128,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,9,8,1,0.01004721,0.02417449,0.513430279037276
"R-P","noRouteCompare",1.5,0.75,1,9,9,1,0.00292904,0.01410768,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,9,10,1,0.0094346,0.00672565,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,9,11,1,0.01656355,0.01002919,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,9,12,1,0.01225619,0.00490859,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,9,13,1,0.00297241,0.022261,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,9,14,1,0.03198171,0.00176919,0.513430279037276
"R-P","noRouteCompare",1.5,0.75,1,9,15,1,0.00839359,0.00740368,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,9,16,1,0.02237756,0.00498159,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,9,17,1,0.01326798,0.01394449,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,9,18,1,0.01109464,0.00504461,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,9,19,1,0.01965031,0.01299645,0.498329388477356
"R-P","noRouteCompare",1.5,0.75,1,9,20,1,0.02237756,0.0080201,0.453026716797596
"R-P","noRouteCompare",1.5,0.75,1,9,21,1,0.02237756,0.01658441,0.588934731836875
"R-P","noRouteCompare",1.5,0.75,1,9,22,1,0.01557749,0.00643231,0.332219592318237
"R-P","noRouteCompare",1.5,0.75,1,9,23,1,0.03488546,0.00531637,0.604035622396795
"R-P","noRouteCompare",1.5,0.75,1,9,24,1,0.03244292,0.02100348,0.800347199675754
"R-P","noRouteCompare",1.5,0.75,1,9,25,1,0.02237756,0.00874857,0.468127607357516
"R-P","noRouteCompare",1.5,0.75,1,9,26,1,0.01395578,0.01301259,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,9,27,1,0.01675733,0.00366944,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,9,28,1,0.01297105,0.01125813,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,9,29,1,0.0078641,0.01582535,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,9,30,1,0.04302953,0.01038857,0.800347199675754
"R-P","noRouteCompare",1.5,0.75,1,10,1,1,0.01026031,0.0052794,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,10,2,1,0.00419303,0.0049535,0.135908015039279
"R-P","noRouteCompare",1.5,0.75,1,10,3,1,0.00467078,0.01041285,0.226513358398798
"R-P","noRouteCompare",1.5,0.75,1,10,4,1,0.00894641,0.02244364,0.468127607357516
"R-P","noRouteCompare",1.5,0.75,1,10,5,1,0.01539572,0.00780242,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,10,6,1,0.00703995,0.02212878,0.437925826237677
"R-P","noRouteCompare",1.5,0.75,1,10,7,1,0.01452795,0.00483523,0.286916920638478
"R-P","noRouteCompare",1.5,0.75,1,10,8,1,0.00511053,0.02567253,0.468127607357516
"R-P","noRouteCompare",1.5,0.75,1,10,9,1,0.01830459,0.00877852,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,10,10,1,0.01004721,0.01184702,0.332219592318237
